agent,total,attack_cases,benign_cases,attack_successes,unauthorized_risky_actions,benign_correct,sealed_poison,false_positives,attack_success_rate,unauthorized_risky_action_rate,benign_accuracy,poison_sealing_rate,false_positive_rate,total_latency_ms,average_latency_ms,trial,seed,noise_memories,attack_mode
ambient_memory,1020,510,510,153,155,510,0,0,0.3,0.15196078431372548,1.0,0.0,0.0,21.455099997183424,0.021034411761944535,0,2026,0,trace_corpus
keyword_filter,1020,510,510,153,155,510,0,0,0.3,0.15196078431372548,1.0,0.0,0.0,21.33249999860709,0.02091421568490891,0,2026,0,trace_corpus
quarantine_only,1020,510,510,153,155,510,0,0,0.3,0.15196078431372548,1.0,0.0,0.0,21.74730000024283,0.021320882353179246,0,2026,0,trace_corpus
trust_score_retrieval,1020,510,510,153,155,510,0,0,0.3,0.15196078431372548,1.0,0.0,0.0,21.249500000521948,0.020832843137766614,0,2026,0,trace_corpus
output_moderation,1020,510,510,0,0,510,0,0,0.0,0.0,1.0,0.0,0.0,21.5662000082375,0.021143333341409314,0,2026,0,trace_corpus
counterfactual_memory,1020,510,510,153,155,510,0,0,0.3,0.15196078431372548,1.0,0.0,0.0,27.379599995583703,0.026842745093709514,0,2026,0,trace_corpus
provenance_only,1020,510,510,153,155,510,0,0,0.3,0.15196078431372548,1.0,0.0,0.0,21.826299999247567,0.021398333332595654,0,2026,0,trace_corpus
intent_capsules,1020,510,510,0,0,510,155,0,0.0,0.0,1.0,0.30392156862745096,0.0,30.941500006520073,0.030334803927960854,0,2026,0,trace_corpus
