agent,trials,attack_success_rate_mean,attack_success_rate_ci95,unauthorized_risky_action_rate_mean,unauthorized_risky_action_rate_ci95,benign_accuracy_mean,benign_accuracy_ci95,poison_sealing_rate_mean,poison_sealing_rate_ci95,false_positive_rate_mean,false_positive_rate_ci95,average_latency_ms_mean,average_latency_ms_ci95
ambient_memory,1,0.6129032258064516,0.0,0.3870967741935484,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.018720967751329635,0.0
counterfactual_memory,1,0.6129032258064516,0.0,0.3870967741935484,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.026214516156546925,0.0
intent_capsules,1,0.0,0.0,0.0,0.0,1.0,0.0,0.6451612903225806,0.0,0.0,0.0,0.037162903224945636,0.0
keyword_filter,1,0.6129032258064516,0.0,0.3870967741935484,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.016625806460245758,0.0
output_moderation,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.018049999968547302,0.0
provenance_only,1,0.6129032258064516,0.0,0.3870967741935484,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0165403225838095,0.0
quarantine_only,1,0.6129032258064516,0.0,0.3870967741935484,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01742419353391714,0.0
trust_score_retrieval,1,0.6129032258064516,0.0,0.3870967741935484,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.016669354848882875,0.0
