agent,trials,attack_success_rate_mean,attack_success_rate_ci95,unauthorized_risky_action_rate_mean,unauthorized_risky_action_rate_ci95,benign_accuracy_mean,benign_accuracy_ci95,poison_sealing_rate_mean,poison_sealing_rate_ci95,false_positive_rate_mean,false_positive_rate_ci95,average_latency_ms_mean,average_latency_ms_ci95
ambient_memory,1,0.29215686274509806,0.0,0.1931372549019608,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.021120392160560632,0.0
counterfactual_memory,1,0.29215686274509806,0.0,0.1931372549019608,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.027598529411356067,0.0
intent_capsules,1,0.0,0.0,0.0,0.0,0.8823529411764706,0.0,0.3862745098039216,0.0,0.11764705882352941,0.0,0.030455784320012898,0.0
keyword_filter,1,0.29215686274509806,0.0,0.1931372549019608,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.021008431379940185,0.0
output_moderation,1,0.0,0.0,0.0,0.0,0.8823529411764706,0.0,0.0,0.0,0.11764705882352941,0.0,0.021144901962302624,0.0
provenance_only,1,0.29215686274509806,0.0,0.1931372549019608,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.021287450981974106,0.0
quarantine_only,1,0.29215686274509806,0.0,0.1931372549019608,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.021357843139617663,0.0
trust_score_retrieval,1,0.29215686274509806,0.0,0.1931372549019608,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02111343136805005,0.0
