agent,trials,attack_success_rate_mean,attack_success_rate_ci95,unauthorized_risky_action_rate_mean,unauthorized_risky_action_rate_ci95,benign_accuracy_mean,benign_accuracy_ci95,poison_sealing_rate_mean,poison_sealing_rate_ci95,false_positive_rate_mean,false_positive_rate_ci95,average_latency_ms_mean,average_latency_ms_ci95
ambient_memory,1,0.3,0.0,0.15196078431372548,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.021034411761944535,0.0
counterfactual_memory,1,0.3,0.0,0.15196078431372548,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.026842745093709514,0.0
intent_capsules,1,0.0,0.0,0.0,0.0,1.0,0.0,0.30392156862745096,0.0,0.0,0.0,0.030334803927960854,0.0
keyword_filter,1,0.3,0.0,0.15196078431372548,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02091421568490891,0.0
output_moderation,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.021143333341409314,0.0
provenance_only,1,0.3,0.0,0.15196078431372548,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.021398333332595654,0.0
quarantine_only,1,0.3,0.0,0.15196078431372548,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.021320882353179246,0.0
trust_score_retrieval,1,0.3,0.0,0.15196078431372548,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.020832843137766614,0.0
