agent,trials,attack_success_rate_mean,attack_success_rate_ci95,unauthorized_risky_action_rate_mean,unauthorized_risky_action_rate_ci95,benign_accuracy_mean,benign_accuracy_ci95,poison_sealing_rate_mean,poison_sealing_rate_ci95,false_positive_rate_mean,false_positive_rate_ci95,average_latency_ms_mean,average_latency_ms_ci95
ambient_memory,1,0.6774193548387096,0.0,0.45161290322580644,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.018008064510086703,0.0
counterfactual_memory,1,0.6774193548387096,0.0,0.45161290322580644,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.021188709689751353,0.0
intent_capsules,1,0.0,0.0,0.0,0.0,0.6774193548387096,0.0,0.9032258064516129,0.0,0.3225806451612903,0.0,0.035109677417993576,0.0
keyword_filter,1,0.6774193548387096,0.0,0.45161290322580644,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.018114516137757164,0.0
output_moderation,1,0.0,0.0,0.0,0.0,0.6774193548387096,0.0,0.0,0.0,0.3225806451612903,0.0,0.016712903230185358,0.0
provenance_only,1,0.6774193548387096,0.0,0.45161290322580644,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.018304838700685416,0.0
quarantine_only,1,0.6774193548387096,0.0,0.45161290322580644,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.016753225824481154,0.0
trust_score_retrieval,1,0.6774193548387096,0.0,0.45161290322580644,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.016587096766787938,0.0
